name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,log_ppr
l0[0],192.919,0.007,192.906,192.932,0.0,0.0,2642.0,2642.0,2658.0,1338.0,1.0,1.862586018999737
l0[1],209.925,0.003,209.918,209.931,0.0,0.0,2844.0,2844.0,2851.0,1536.0,1.0,2.2305628042943315
l0[2],226.817,0.004,226.811,226.824,0.0,0.0,2962.0,2962.0,2929.0,1493.0,1.0,2.1056240676860316
l0[3],243.885,0.007,243.871,243.897,0.0,0.0,2595.0,2595.0,2662.0,1593.0,1.0,1.862586018999737
l2[0],190.628,0.007,190.615,190.642,0.0,0.0,2391.0,2391.0,2389.0,1479.0,1.0,1.862586018999737
l2[1],207.628,0.011,207.607,207.648,0.0,0.0,2638.0,2638.0,2622.0,1469.0,1.0,1.666291373855769
l2[2],224.684,0.009,224.667,224.7,0.0,0.0,2675.0,2675.0,2691.0,1473.0,1.0,1.7534415495746691
l2[3],241.713,0.011,241.69,241.732,0.0,0.0,2875.0,2875.0,2848.0,1471.0,1.0,1.666291373855769
width0[0],0.154,0.016,0.126,0.184,0.0,0.0,1699.0,1699.0,1688.0,1116.0,1.0,
width0[1],0.079,0.007,0.066,0.093,0.0,0.0,1784.0,1784.0,1772.0,1404.0,1.0,
width0[2],0.082,0.007,0.068,0.096,0.0,0.0,1628.0,1628.0,1634.0,1313.0,1.0,
width0[3],0.194,0.018,0.164,0.23,0.0,0.0,1562.0,1562.0,1557.0,1280.0,1.0,
width2[0],0.142,0.02,0.104,0.178,0.0,0.0,1764.0,1732.0,1755.0,1418.0,1.0,
width2[1],0.376,0.029,0.321,0.429,0.001,0.0,1952.0,1948.0,1948.0,1355.0,1.0,
width2[2],0.344,0.022,0.3,0.385,0.0,0.0,1984.0,1984.0,1995.0,1311.0,1.0,
width2[3],0.339,0.03,0.282,0.394,0.001,0.001,1399.0,1399.0,1392.0,1039.0,1.0,
height0[0],9.682,1.277,7.445,12.052,0.03,0.022,1763.0,1701.0,1817.0,1245.0,1.0,
height0[1],46.657,6.976,34.444,59.84,0.163,0.118,1824.0,1754.0,1885.0,1604.0,1.0,
height0[2],69.781,10.51,51.854,90.448,0.261,0.188,1622.0,1560.0,1714.0,1208.0,1.0,
height0[3],15.047,1.788,11.935,18.409,0.044,0.032,1653.0,1603.0,1734.0,1261.0,1.0,
height2[0],5.658,0.875,4.044,7.255,0.02,0.014,1929.0,1929.0,1956.0,1427.0,1.0,
height2[1],8.099,0.735,6.793,9.548,0.016,0.012,2085.0,2041.0,2111.0,1503.0,1.0,
height2[2],17.87,1.611,14.937,20.919,0.035,0.025,2090.0,2041.0,2152.0,1344.0,1.0,
height2[3],7.174,0.713,5.81,8.454,0.018,0.013,1524.0,1477.0,1573.0,1159.0,1.0,
back[0],0.759,0.029,0.7,0.81,0.001,0.0,1991.0,1991.0,1995.0,1287.0,1.0,
back[1],0.526,0.034,0.464,0.592,0.001,0.001,2165.0,2165.0,2159.0,1463.0,1.0,
back[2],0.492,0.041,0.416,0.57,0.001,0.001,2462.0,2432.0,2450.0,1600.0,1.0,
back[3],0.634,0.05,0.538,0.722,0.001,0.001,1712.0,1712.0,1718.0,1639.0,1.0,
